Totales Territoriales;Comunidades y Ciudades Autónomas;Divisiones COICOP;Periodo;Total
Total Nacional;12 Galicia;P.3. Gasto en consumo final de los hogares;2019;36.750.988
Total Nacional;12 Galicia;P.3. Gasto en consumo final de los hogares;2018;36.288.763
Total Nacional;12 Galicia;P.3. Gasto en consumo final de los hogares;2017;35.535.094
Total Nacional;12 Galicia;P.3. Gasto en consumo final de los hogares;2016;34.164.598
Total Nacional;12 Galicia;P.3. Gasto en consumo final de los hogares;2015;33.851.099
Total Nacional;12 Galicia;P.3. Gasto en consumo final de los hogares;2014;32.963.103
Total Nacional;12 Galicia;P.4. Consumo final efectivo de los hogares;2020;41.476.959
Total Nacional;12 Galicia;P.4. Consumo final efectivo de los hogares;2019;45.586.720
Total Nacional;12 Galicia;P.4. Consumo final efectivo de los hogares;2018;44.674.615
Total Nacional;12 Galicia;P.4. Consumo final efectivo de los hogares;2017;43.693.422
Total Nacional;12 Galicia;P.4. Consumo final efectivo de los hogares;2016;42.112.127
Total Nacional;12 Galicia;P.4. Consumo final efectivo de los hogares;2015;41.600.103
Total Nacional;12 Galicia;P.4. Consumo final efectivo de los hogares;2014;40.444.179
Total Nacional;13 Madrid, Comunidad de;01. Alimentos y bebidas no alcohólicas;2020;13.325.360
Total Nacional;13 Madrid, Comunidad de;01. Alimentos y bebidas no alcohólicas;2019;12.186.206
Total Nacional;13 Madrid, Comunidad de;01. Alimentos y bebidas no alcohólicas;2018;11.820.086
Total Nacional;13 Madrid, Comunidad de;01. Alimentos y bebidas no alcohólicas;2017;11.139.471
Total Nacional;13 Madrid, Comunidad de;01. Alimentos y bebidas no alcohólicas;2016;11.038.028
Total Nacional;13 Madrid, Comunidad de;01. Alimentos y bebidas no alcohólicas;2015;10.881.329
Total Nacional;13 Madrid, Comunidad de;01. Alimentos y bebidas no alcohólicas;2014;10.365.065
Total Nacional;13 Madrid, Comunidad de;02. Bebidas alcohólicas, tabaco y narcóticos;2020;3.797.180
Total Nacional;13 Madrid, Comunidad de;02. Bebidas alcohólicas, tabaco y narcóticos;2019;3.622.438
Total Nacional;13 Madrid, Comunidad de;02. Bebidas alcohólicas, tabaco y narcóticos;2018;3.570.853
Total Nacional;13 Madrid, Comunidad de;02. Bebidas alcohólicas, tabaco y narcóticos;2017;3.517.151
Total Nacional;13 Madrid, Comunidad de;02. Bebidas alcohólicas, tabaco y narcóticos;2016;3.485.374
Total Nacional;13 Madrid, Comunidad de;02. Bebidas alcohólicas, tabaco y narcóticos;2015;3.339.521
Total Nacional;13 Madrid, Comunidad de;02. Bebidas alcohólicas, tabaco y narcóticos;2014;3.306.515
Total Nacional;13 Madrid, Comunidad de;03. Artículos de vestir y calzado;2020;2.932.918
Total Nacional;13 Madrid, Comunidad de;03. Artículos de vestir y calzado;2019;3.901.943
Total Nacional;13 Madrid, Comunidad de;03. Artículos de vestir y calzado;2018;3.865.265
Total Nacional;13 Madrid, Comunidad de;03. Artículos de vestir y calzado;2017;3.984.355
Total Nacional;13 Madrid, Comunidad de;03. Artículos de vestir y calzado;2016;4.037.264
Total Nacional;13 Madrid, Comunidad de;03. Artículos de vestir y calzado;2015;3.733.191
Total Nacional;13 Madrid, Comunidad de;03. Artículos de vestir y calzado;2014;3.717.312
Total Nacional;13 Madrid, Comunidad de;04. Vivienda, agua, electricidad, gas y otros combustibles;2020;25.505.013
Total Nacional;13 Madrid, Comunidad de;04. Vivienda, agua, electricidad, gas y otros combustibles;2019;25.830.211
Total Nacional;13 Madrid, Comunidad de;04. Vivienda, agua, electricidad, gas y otros combustibles;2018;25.110.376
Total Nacional;13 Madrid, Comunidad de;04. Vivienda, agua, electricidad, gas y otros combustibles;2017;24.183.252
Total Nacional;13 Madrid, Comunidad de;04. Vivienda, agua, electricidad, gas y otros combustibles;2016;23.644.609
Total Nacional;13 Madrid, Comunidad de;04. Vivienda, agua, electricidad, gas y otros combustibles;2015;23.492.755
Total Nacional;13 Madrid, Comunidad de;04. Vivienda, agua, electricidad, gas y otros combustibles;2014;23.803.134
Total Nacional;13 Madrid, Comunidad de;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2020;4.924.092
Total Nacional;13 Madrid, Comunidad de;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2019;5.407.889
Total Nacional;13 Madrid, Comunidad de;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2018;5.485.429
Total Nacional;13 Madrid, Comunidad de;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2017;5.382.849
Total Nacional;13 Madrid, Comunidad de;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2016;5.231.754
Total Nacional;13 Madrid, Comunidad de;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2015;4.783.234
Total Nacional;13 Madrid, Comunidad de;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2014;4.579.102
Total Nacional;13 Madrid, Comunidad de;06. Salud;2020;5.017.336
Total Nacional;13 Madrid, Comunidad de;06. Salud;2019;5.089.362
Total Nacional;13 Madrid, Comunidad de;06. Salud;2018;4.806.440
Total Nacional;13 Madrid, Comunidad de;06. Salud;2017;4.549.844
Total Nacional;13 Madrid, Comunidad de;06. Salud;2016;4.050.049
Total Nacional;13 Madrid, Comunidad de;06. Salud;2015;4.047.611
Total Nacional;13 Madrid, Comunidad de;06. Salud;2014;3.967.133
Total Nacional;13 Madrid, Comunidad de;07. Transporte;2020;10.540.316
Total Nacional;13 Madrid, Comunidad de;07. Transporte;2019;13.890.864
Total Nacional;13 Madrid, Comunidad de;07. Transporte;2018;13.934.557
Total Nacional;13 Madrid, Comunidad de;07. Transporte;2017;13.148.332
Total Nacional;13 Madrid, Comunidad de;07. Transporte;2016;11.867.943
Total Nacional;13 Madrid, Comunidad de;07. Transporte;2015;11.672.300
Total Nacional;13 Madrid, Comunidad de;07. Transporte;2014;11.098.338
Total Nacional;13 Madrid, Comunidad de;08. Comunicaciones;2020;2.718.214
Total Nacional;13 Madrid, Comunidad de;08. Comunicaciones;2019;2.765.455
Total Nacional;13 Madrid, Comunidad de;08. Comunicaciones;2018;2.794.210
Total Nacional;13 Madrid, Comunidad de;08. Comunicaciones;2017;2.610.925
Total Nacional;13 Madrid, Comunidad de;08. Comunicaciones;2016;2.463.873
Total Nacional;13 Madrid, Comunidad de;08. Comunicaciones;2015;2.266.205
Total Nacional;13 Madrid, Comunidad de;08. Comunicaciones;2014;2.211.222
Total Nacional;13 Madrid, Comunidad de;09. Ocio, espectáculos y cultura;2020;6.513.076
Total Nacional;13 Madrid, Comunidad de;09. Ocio, espectáculos y cultura;2019;10.407.987
Total Nacional;13 Madrid, Comunidad de;09. Ocio, espectáculos y cultura;2018;9.856.837
Total Nacional;13 Madrid, Comunidad de;09. Ocio, espectáculos y cultura;2017;9.204.914
Total Nacional;13 Madrid, Comunidad de;09. Ocio, espectáculos y cultura;2016;8.559.951
Total Nacional;13 Madrid, Comunidad de;09. Ocio, espectáculos y cultura;2015;7.855.928
Total Nacional;13 Madrid, Comunidad de;09. Ocio, espectáculos y cultura;2014;7.451.478
Total Nacional;13 Madrid, Comunidad de;10. Educación;2020;2.225.191
Total Nacional;13 Madrid, Comunidad de;10. Educación;2019;2.264.522
Total Nacional;13 Madrid, Comunidad de;10. Educación;2018;2.222.452
Total Nacional;13 Madrid, Comunidad de;10. Educación;2017;2.188.048
Total Nacional;13 Madrid, Comunidad de;10. Educación;2016;2.153.957
Total Nacional;13 Madrid, Comunidad de;10. Educación;2015;2.136.064
Total Nacional;13 Madrid, Comunidad de;10. Educación;2014;2.163.623
Total Nacional;13 Madrid, Comunidad de;11. Hoteles, cafés y restaurantes;2020;8.204.694
Total Nacional;13 Madrid, Comunidad de;11. Hoteles, cafés y restaurantes;2019;13.076.402
Total Nacional;13 Madrid, Comunidad de;11. Hoteles, cafés y restaurantes;2018;12.831.422
Total Nacional;13 Madrid, Comunidad de;11. Hoteles, cafés y restaurantes;2017;12.119.436
Total Nacional;13 Madrid, Comunidad de;11. Hoteles, cafés y restaurantes;2016;11.302.721
Total Nacional;13 Madrid, Comunidad de;11. Hoteles, cafés y restaurantes;2015;10.576.882
Total Nacional;13 Madrid, Comunidad de;11. Hoteles, cafés y restaurantes;2014;9.746.974
Total Nacional;13 Madrid, Comunidad de;12. Otros bienes y servicios;2020;13.831.196
Total Nacional;13 Madrid, Comunidad de;12. Otros bienes y servicios;2019;14.279.012
Total Nacional;13 Madrid, Comunidad de;12. Otros bienes y servicios;2018;13.317.075
Total Nacional;13 Madrid, Comunidad de;12. Otros bienes y servicios;2017;12.022.462
Total Nacional;13 Madrid, Comunidad de;12. Otros bienes y servicios;2016;11.108.775
Total Nacional;13 Madrid, Comunidad de;12. Otros bienes y servicios;2015;10.014.109
Total Nacional;13 Madrid, Comunidad de;12. Otros bienes y servicios;2014;9.337.728
Total Nacional;13 Madrid, Comunidad de;Total gasto en consumo final de los hogares interior;2020;99.534.586
Total Nacional;13 Madrid, Comunidad de;Total gasto en consumo final de los hogares interior;2019;112.722.291
Total Nacional;13 Madrid, Comunidad de;Total gasto en consumo final de los hogares interior;2018;109.615.002
Total Nacional;13 Madrid, Comunidad de;Total gasto en consumo final de los hogares interior;2017;104.051.039
Total Nacional;13 Madrid, Comunidad de;Total gasto en consumo final de los hogares interior;2016;98.944.298
Total Nacional;13 Madrid, Comunidad de;Total gasto en consumo final de los hogares interior;2015;94.799.129
Total Nacional;13 Madrid, Comunidad de;Total gasto en consumo final de los hogares interior;2014;91.747.624
Total Nacional;13 Madrid, Comunidad de;P.3. Gasto en consumo final de los hogares;2020;105.950.348
Total Nacional;13 Madrid, Comunidad de;P.3. Gasto en consumo final de los hogares;2019;122.742.484
Total Nacional;13 Madrid, Comunidad de;P.3. Gasto en consumo final de los hogares;2018;118.591.163
Total Nacional;13 Madrid, Comunidad de;P.3. Gasto en consumo final de los hogares;2017;113.067.129
Total Nacional;13 Madrid, Comunidad de;P.3. Gasto en consumo final de los hogares;2016;107.019.155
Total Nacional;13 Madrid, Comunidad de;P.3. Gasto en consumo final de los hogares;2015;102.599.223
Total Nacional;13 Madrid, Comunidad de;P.3. Gasto en consumo final de los hogares;2014;99.427.405
Total Nacional;13 Madrid, Comunidad de;P.4. Consumo final efectivo de los hogares;2020;126.927.662
Total Nacional;13 Madrid, Comunidad de;P.4. Consumo final efectivo de los hogares;2019;142.183.545
Total Nacional;13 Madrid, Comunidad de;P.4. Consumo final efectivo de los hogares;2018;136.817.425
Total Nacional;13 Madrid, Comunidad de;P.4. Consumo final efectivo de los hogares;2017;130.723.128
Total Nacional;13 Madrid, Comunidad de;P.4. Consumo final efectivo de los hogares;2016;124.149.972
Total Nacional;13 Madrid, Comunidad de;P.4. Consumo final efectivo de los hogares;2015;119.676.807
Total Nacional;13 Madrid, Comunidad de;P.4. Consumo final efectivo de los hogares;2014;115.567.005
Total Nacional;14 Murcia, Región de;01. Alimentos y bebidas no alcohólicas;2020;3.067.501
Total Nacional;14 Murcia, Región de;01. Alimentos y bebidas no alcohólicas;2019;2.903.308
Total Nacional;14 Murcia, Región de;01. Alimentos y bebidas no alcohólicas;2018;2.889.504
Total Nacional;14 Murcia, Región de;01. Alimentos y bebidas no alcohólicas;2017;2.748.231
Total Nacional;14 Murcia, Región de;01. Alimentos y bebidas no alcohólicas;2016;2.683.971
Total Nacional;14 Murcia, Región de;01. Alimentos y bebidas no alcohólicas;2015;2.716.236
Total Nacional;14 Murcia, Región de;01. Alimentos y bebidas no alcohólicas;2014;2.604.327
Total Nacional;14 Murcia, Región de;02. Bebidas alcohólicas, tabaco y narcóticos;2020;1.028.233
Total Nacional;14 Murcia, Región de;02. Bebidas alcohólicas, tabaco y narcóticos;2019;989.146
Total Nacional;14 Murcia, Región de;02. Bebidas alcohólicas, tabaco y narcóticos;2018;1.000.537
Total Nacional;14 Murcia, Región de;02. Bebidas alcohólicas, tabaco y narcóticos;2017;979.031
Total Nacional;14 Murcia, Región de;02. Bebidas alcohólicas, tabaco y narcóticos;2016;970.452
Total Nacional;14 Murcia, Región de;02. Bebidas alcohólicas, tabaco y narcóticos;2015;916.489
Total Nacional;14 Murcia, Región de;02. Bebidas alcohólicas, tabaco y narcóticos;2014;927.757
Total Nacional;14 Murcia, Región de;03. Artículos de vestir y calzado;2020;669.929
Total Nacional;14 Murcia, Región de;03. Artículos de vestir y calzado;2019;957.350
Total Nacional;14 Murcia, Región de;03. Artículos de vestir y calzado;2018;941.144
Total Nacional;14 Murcia, Región de;03. Artículos de vestir y calzado;2017;936.693
Total Nacional;14 Murcia, Región de;03. Artículos de vestir y calzado;2016;923.737
Total Nacional;14 Murcia, Región de;03. Artículos de vestir y calzado;2015;831.458
Total Nacional;14 Murcia, Región de;03. Artículos de vestir y calzado;2014;806.734
Total Nacional;14 Murcia, Región de;04. Vivienda, agua, electricidad, gas y otros combustibles;2020;4.054.135
Total Nacional;14 Murcia, Región de;04. Vivienda, agua, electricidad, gas y otros combustibles;2019;4.119.706
Total Nacional;14 Murcia, Región de;04. Vivienda, agua, electricidad, gas y otros combustibles;2018;4.056.262
Total Nacional;14 Murcia, Región de;04. Vivienda, agua, electricidad, gas y otros combustibles;2017;3.944.262
Total Nacional;14 Murcia, Región de;04. Vivienda, agua, electricidad, gas y otros combustibles;2016;3.845.274
Total Nacional;14 Murcia, Región de;04. Vivienda, agua, electricidad, gas y otros combustibles;2015;3.825.898
Total Nacional;14 Murcia, Región de;04. Vivienda, agua, electricidad, gas y otros combustibles;2014;3.832.201
Total Nacional;14 Murcia, Región de;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2020;912.579
Total Nacional;14 Murcia, Región de;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2019;1.028.485
Total Nacional;14 Murcia, Región de;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2018;1.046.737
Total Nacional;14 Murcia, Región de;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2017;1.012.494
Total Nacional;14 Murcia, Región de;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2016;954.857
Total Nacional;14 Murcia, Región de;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2015;894.743
Total Nacional;14 Murcia, Región de;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2014;822.554
Total Nacional;14 Murcia, Región de;06. Salud;2020;845.944
Total Nacional;14 Murcia, Región de;06. Salud;2019;954.586
Total Nacional;14 Murcia, Región de;06. Salud;2018;897.680
Total Nacional;14 Murcia, Región de;06. Salud;2017;860.217
Total Nacional;14 Murcia, Región de;06. Salud;2016;804.803
Total Nacional;14 Murcia, Región de;06. Salud;2015;774.570
Total Nacional;14 Murcia, Región de;06. Salud;2014;744.925
Total Nacional;14 Murcia, Región de;07. Transporte;2020;1.952.676
Total Nacional;14 Murcia, Región de;07. Transporte;2019;2.656.909
Total Nacional;14 Murcia, Región de;07. Transporte;2018;2.699.445
Total Nacional;14 Murcia, Región de;07. Transporte;2017;2.544.147
Total Nacional;14 Murcia, Región de;07. Transporte;2016;2.270.774
Total Nacional;14 Murcia, Región de;07. Transporte;2015;2.158.259
Total Nacional;14 Murcia, Región de;07. Transporte;2014;2.062.000
Total Nacional;14 Murcia, Región de;08. Comunicaciones;2020;461.718
Total Nacional;14 Murcia, Región de;08. Comunicaciones;2019;474.736
Total Nacional;14 Murcia, Región de;08. Comunicaciones;2018;486.576
Total Nacional;14 Murcia, Región de;08. Comunicaciones;2017;467.695
Total Nacional;14 Murcia, Región de;08. Comunicaciones;2016;450.988
Total Nacional;14 Murcia, Región de;08. Comunicaciones;2015;411.867
Total Nacional;14 Murcia, Región de;08. Comunicaciones;2014;415.945
Total Nacional;14 Murcia, Región de;09. Ocio, espectáculos y cultura;2020;979.146
Total Nacional;14 Murcia, Región de;09. Ocio, espectáculos y cultura;2019;1.505.477
Total Nacional;14 Murcia, Región de;09. Ocio, espectáculos y cultura;2018;1.507.522
Total Nacional;14 Murcia, Región de;09. Ocio, espectáculos y cultura;2017;1.405.732
Total Nacional;14 Murcia, Región de;09. Ocio, espectáculos y cultura;2016;1.300.771
Total Nacional;14 Murcia, Región de;09. Ocio, espectáculos y cultura;2015;1.214.342
Total Nacional;14 Murcia, Región de;09. Ocio, espectáculos y cultura;2014;1.135.681
Total Nacional;14 Murcia, Región de;10. Educación;2020;369.493
Total Nacional;14 Murcia, Región de;10. Educación;2019;380.940
Total Nacional;14 Murcia, Región de;10. Educación;2018;376.877
Total Nacional;14 Murcia, Región de;10. Educación;2017;372.448
Total Nacional;14 Murcia, Región de;10. Educación;2016;364.385
Total Nacional;14 Murcia, Región de;10. Educación;2015;352.572
Total Nacional;14 Murcia, Región de;10. Educación;2014;356.699
Total Nacional;14 Murcia, Región de;11. Hoteles, cafés y restaurantes;2020;1.563.160
Total Nacional;14 Murcia, Región de;11. Hoteles, cafés y restaurantes;2019;2.775.001
Total Nacional;14 Murcia, Región de;11. Hoteles, cafés y restaurantes;2018;2.717.698
Total Nacional;14 Murcia, Región de;11. Hoteles, cafés y restaurantes;2017;2.624.301
Total Nacional;14 Murcia, Región de;11. Hoteles, cafés y restaurantes;2016;2.392.968
Total Nacional;14 Murcia, Región de;11. Hoteles, cafés y restaurantes;2015;2.154.559
Total Nacional;14 Murcia, Región de;11. Hoteles, cafés y restaurantes;2014;2.004.036
Total Nacional;14 Murcia, Región de;12. Otros bienes y servicios;2020;1.600.106
Total Nacional;14 Murcia, Región de;12. Otros bienes y servicios;2019;1.728.406
Total Nacional;14 Murcia, Región de;12. Otros bienes y servicios;2018;1.694.674
Total Nacional;14 Murcia, Región de;12. Otros bienes y servicios;2017;1.614.965
Total Nacional;14 Murcia, Región de;12. Otros bienes y servicios;2016;1.580.893
Total Nacional;14 Murcia, Región de;12. Otros bienes y servicios;2015;1.502.162
Total Nacional;14 Murcia, Región de;12. Otros bienes y servicios;2014;1.454.310
Total Nacional;14 Murcia, Región de;Total gasto en consumo final de los hogares interior;2020;17.504.620
Total Nacional;14 Murcia, Región de;Total gasto en consumo final de los hogares interior;2019;20.474.050
Total Nacional;14 Murcia, Región de;Total gasto en consumo final de los hogares interior;2018;20.314.656
Total Nacional;14 Murcia, Región de;Total gasto en consumo final de los hogares interior;2017;19.510.216
Total Nacional;14 Murcia, Región de;Total gasto en consumo final de los hogares interior;2016;18.543.873
Total Nacional;14 Murcia, Región de;Total gasto en consumo final de los hogares interior;2015;17.753.155
Total Nacional;14 Murcia, Región de;Total gasto en consumo final de los hogares interior;2014;17.167.169
Total Nacional;14 Murcia, Región de;P.3. Gasto en consumo final de los hogares;2020;17.253.156
Total Nacional;14 Murcia, Región de;P.3. Gasto en consumo final de los hogares;2019;19.730.888
Total Nacional;14 Murcia, Región de;P.3. Gasto en consumo final de los hogares;2018;19.370.160
Total Nacional;14 Murcia, Región de;P.3. Gasto en consumo final de los hogares;2017;18.673.482
Total Nacional;14 Murcia, Región de;P.3. Gasto en consumo final de los hogares;2016;17.761.699
Total Nacional;14 Murcia, Región de;P.3. Gasto en consumo final de los hogares;2015;17.086.541
Total Nacional;14 Murcia, Región de;P.3. Gasto en consumo final de los hogares;2014;16.450.131
Total Nacional;14 Murcia, Región de;P.4. Consumo final efectivo de los hogares;2020;22.489.291
Total Nacional;14 Murcia, Región de;P.4. Consumo final efectivo de los hogares;2019;24.670.817
Total Nacional;14 Murcia, Región de;P.4. Consumo final efectivo de los hogares;2018;24.046.480
Total Nacional;14 Murcia, Región de;P.4. Consumo final efectivo de los hogares;2017;23.193.687
Total Nacional;14 Murcia, Región de;P.4. Consumo final efectivo de los hogares;2016;22.152.102
Total Nacional;14 Murcia, Región de;P.4. Consumo final efectivo de los hogares;2015;21.356.817
Total Nacional;14 Murcia, Región de;P.4. Consumo final efectivo de los hogares;2014;20.520.775
Total Nacional;15 Navarra, Comunidad Foral de;01. Alimentos y bebidas no alcohólicas;2020;1.539.941
Total Nacional;15 Navarra, Comunidad Foral de;01. Alimentos y bebidas no alcohólicas;2019;1.402.806
Total Nacional;15 Navarra, Comunidad Foral de;01. Alimentos y bebidas no alcohólicas;2018;1.359.009
Total Nacional;15 Navarra, Comunidad Foral de;01. Alimentos y bebidas no alcohólicas;2017;1.278.517
Total Nacional;15 Navarra, Comunidad Foral de;01. Alimentos y bebidas no alcohólicas;2016;1.258.031
Total Nacional;15 Navarra, Comunidad Foral de;01. Alimentos y bebidas no alcohólicas;2015;1.288.911
Total Nacional;15 Navarra, Comunidad Foral de;01. Alimentos y bebidas no alcohólicas;2014;1.209.990
Total Nacional;15 Navarra, Comunidad Foral de;02. Bebidas alcohólicas, tabaco y narcóticos;2020;486.304
Total Nacional;15 Navarra, Comunidad Foral de;02. Bebidas alcohólicas, tabaco y narcóticos;2019;484.598
Total Nacional;15 Navarra, Comunidad Foral de;02. Bebidas alcohólicas, tabaco y narcóticos;2018;469.556
Total Nacional;15 Navarra, Comunidad Foral de;02. Bebidas alcohólicas, tabaco y narcóticos;2017;453.431
Total Nacional;15 Navarra, Comunidad Foral de;02. Bebidas alcohólicas, tabaco y narcóticos;2016;454.086
Total Nacional;15 Navarra, Comunidad Foral de;02. Bebidas alcohólicas, tabaco y narcóticos;2015;432.213
Total Nacional;15 Navarra, Comunidad Foral de;02. Bebidas alcohólicas, tabaco y narcóticos;2014;435.581
Total Nacional;15 Navarra, Comunidad Foral de;03. Artículos de vestir y calzado;2020;358.811
Total Nacional;15 Navarra, Comunidad Foral de;03. Artículos de vestir y calzado;2019;466.568
Total Nacional;15 Navarra, Comunidad Foral de;03. Artículos de vestir y calzado;2018;453.415
Total Nacional;15 Navarra, Comunidad Foral de;03. Artículos de vestir y calzado;2017;460.114
Total Nacional;15 Navarra, Comunidad Foral de;03. Artículos de vestir y calzado;2016;459.334
Total Nacional;15 Navarra, Comunidad Foral de;03. Artículos de vestir y calzado;2015;434.309
Total Nacional;15 Navarra, Comunidad Foral de;03. Artículos de vestir y calzado;2014;416.005
Total Nacional;15 Navarra, Comunidad Foral de;04. Vivienda, agua, electricidad, gas y otros combustibles;2020;2.358.424
Total Nacional;15 Navarra, Comunidad Foral de;04. Vivienda, agua, electricidad, gas y otros combustibles;2019;2.395.718
Total Nacional;15 Navarra, Comunidad Foral de;04. Vivienda, agua, electricidad, gas y otros combustibles;2018;2.349.058
Total Nacional;15 Navarra, Comunidad Foral de;04. Vivienda, agua, electricidad, gas y otros combustibles;2017;2.302.749
Total Nacional;15 Navarra, Comunidad Foral de;04. Vivienda, agua, electricidad, gas y otros combustibles;2016;2.244.513
Total Nacional;15 Navarra, Comunidad Foral de;04. Vivienda, agua, electricidad, gas y otros combustibles;2015;2.246.776
Total Nacional;15 Navarra, Comunidad Foral de;04. Vivienda, agua, electricidad, gas y otros combustibles;2014;2.262.670
Total Nacional;15 Navarra, Comunidad Foral de;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2020;435.026
Total Nacional;15 Navarra, Comunidad Foral de;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2019;486.747
Total Nacional;15 Navarra, Comunidad Foral de;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2018;491.579
Total Nacional;15 Navarra, Comunidad Foral de;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2017;489.141
Total Nacional;15 Navarra, Comunidad Foral de;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2016;470.387
Total Nacional;15 Navarra, Comunidad Foral de;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2015;447.163
Total Nacional;15 Navarra, Comunidad Foral de;05. Mobiliario, equipamiento del hogar y gastos corrientes de conservación de la vivienda;2014;420.295
Total Nacional;15 Navarra, Comunidad Foral de;06. Salud;2020;522.358
Total Nacional;15 Navarra, Comunidad Foral de;06. Salud;2019;542.194
Total Nacional;15 Navarra, Comunidad Foral de;06. Salud;2018;475.037
Total Nacional;15 Navarra, Comunidad Foral de;06. Salud;2017;469.345
Total Nacional;15 Navarra, Comunidad Foral de;06. Salud;2016;424.121
Total Nacional;15 Navarra, Comunidad Foral de;06. Salud;2015;430.265
Total Nacional;15 Navarra, Comunidad Foral de;06. Salud;2014;433.643
Total Nacional;15 Navarra, Comunidad Foral de;07. Transporte;2020;947.896
Total Nacional;15 Navarra, Comunidad Foral de;07. Transporte;2019;1.262.705
Total Nacional;15 Navarra, Comunidad Foral de;07. Transporte;2018;1.225.406
Total Nacional;15 Navarra, Comunidad Foral de;07. Transporte;2017;1.145.741
Total Nacional;15 Navarra, Comunidad Foral de;07. Transporte;2016;1.008.328
Total Nacional;15 Navarra, Comunidad Foral de;07. Transporte;2015;995.269
Total Nacional;15 Navarra, Comunidad Foral de;07. Transporte;2014;926.200
Total Nacional;15 Navarra, Comunidad Foral de;08. Comunicaciones;2020;248.319
Total Nacional;15 Navarra, Comunidad Foral de;08. Comunicaciones;2019;255.817
Total Nacional;15 Navarra, Comunidad Foral de;08. Comunicaciones;2018;258.944
Total Nacional;15 Navarra, Comunidad Foral de;08. Comunicaciones;2017;247.916
Total Nacional;15 Navarra, Comunidad Foral de;08. Comunicaciones;2016;233.716
Total Nacional;15 Navarra, Comunidad Foral de;08. Comunicaciones;2015;211.281
Total Nacional;15 Navarra, Comunidad Foral de;08. Comunicaciones;2014;209.918
Total Nacional;15 Navarra, Comunidad Foral de;09. Ocio, espectáculos y cultura;2020;618.759
Total Nacional;15 Navarra, Comunidad Foral de;09. Ocio, espectáculos y cultura;2019;920.900
Total Nacional;15 Navarra, Comunidad Foral de;09. Ocio, espectáculos y cultura;2018;833.131
Total Nacional;15 Navarra, Comunidad Foral de;09. Ocio, espectáculos y cultura;2017;780.181
Total Nacional;15 Navarra, Comunidad Foral de;09. Ocio, espectáculos y cultura;2016;699.260
Total Nacional;15 Navarra, Comunidad Foral de;09. Ocio, espectáculos y cultura;2015;696.650
Total Nacional;15 Navarra, Comunidad Foral de;09. Ocio, espectáculos y cultura;2014;654.880
Total Nacional;15 Navarra, Comunidad Foral de;10. Educación;2020;195.900
Total Nacional;15 Navarra, Comunidad Foral de;10. Educación;2019;199.624
Total Nacional;15 Navarra, Comunidad Foral de;10. Educación;2018;195.380
Total Nacional;15 Navarra, Comunidad Foral de;10. Educación;2017;191.761
Total Nacional;15 Navarra, Comunidad Foral de;10. Educación;2016;187.140
Total Nacional;15 Navarra, Comunidad Foral de;10. Educación;2015;184.126
Total Nacional;15 Navarra, Comunidad Foral de;10. Educación;2014;185.858
Total Nacional;15 Navarra, Comunidad Foral de;11. Hoteles, cafés y restaurantes;2020;853.794
Total Nacional;15 Navarra, Comunidad Foral de;11. Hoteles, cafés y restaurantes;2019;1.508.710
Total Nacional;15 Navarra, Comunidad Foral de;11. Hoteles, cafés y restaurantes;2018;1.442.261
Total Nacional;15 Navarra, Comunidad Foral de;11. Hoteles, cafés y restaurantes;2017;1.413.729
Total Nacional;15 Navarra, Comunidad Foral de;11. Hoteles, cafés y restaurantes;2016;1.305.979
Total Nacional;15 Navarra, Comunidad Foral de;11. Hoteles, cafés y restaurantes;2015;1.161.253
Total Nacional;15 Navarra, Comunidad Foral de;11. Hoteles, cafés y restaurantes;2014;1.085.122
Total Nacional;15 Navarra, Comunidad Foral de;12. Otros bienes y servicios;2020;1.020.286
Total Nacional;15 Navarra, Comunidad Foral de;12. Otros bienes y servicios;2019;1.110.482
Total Nacional;15 Navarra, Comunidad Foral de;12. Otros bienes y servicios;2018;1.094.474
